district_id,district_name,area_total,rooms,floor,total_floors,is_top_floor,is_ground_floor,floor_ratio,area_per_room,building_type,repair_status,has_elevator,has_parking,has_balcony,price_usd,price_per_sqm,source,url
9,Яшнабадский район,93.0,3,8,9,0,0,0.8889,31.0,brick,without_repair,1,0,1,100000,1075.3,olx.uz,https://www.olx.uz/d/obyavlenie/prodaetsya-kvartira-v-nrg-3-h-komnatnaya-shikarnaya-planirovka-ID4odcD.html
1,Мирзо-Улугбекский район,68.0,2,9,9,1,0,1.0,34.0,brick,average,1,0,1,54000,794.1,olx.uz,https://www.olx.uz/d/obyavlenie/srochno-sotiladi-ttz-2-daha-2-9-9-orientir-munis-kafe-diadora-ID4oDor.html
6,Алмазарский район,100.0,3,3,12,0,0,0.25,33.33,new,euro,1,0,1,180000,1800.0,olx.uz,https://www.olx.uz/d/obyavlenie/nrg-jomiy-tjk-olmazor-tumani-qavat-3-3-12-maydon-100-m-ID4otE3.html
10,Сергелийский район,66.0,3,4,4,1,0,1.0,22.0,panel,average,0,0,1,50000,757.6,olx.uz,https://www.olx.uz/d/obyavlenie/3-4-4-starye-sergeli-eski-sergeli-dom-kirpichnyy-kvartira-66-m-ID4kvQv.html
6,Алмазарский район,74.0,2,5,9,0,0,0.5556,37.0,brick,euro,1,0,1,88000,1189.2,olx.uz,https://www.olx.uz/d/obyavlenie/guncha-tinchlik-metro-versal-tuyhona-lukoyl-zapravka-q-ID4nYvH.html
5,Чиланзарский район,35.0,1,1,4,0,1,0.25,35.0,panel,euro,0,0,1,64000,1828.6,olx.uz,https://www.olx.uz/d/obyavlenie/12-1-4-upakovka-or-kafe-rayhon-9kv-chilanzar-ID4oFWr.html
0,Юнусабадский район,82.0,4,4,4,1,0,1.0,20.5,panel,average,0,0,1,81500,993.9,olx.uz,https://www.olx.uz/d/obyavlenie/yunusabad-4-kvartal-4-4-4-82-prodaetsya-kvartira-ipoteka-ID4ojIv.html
1,Мирзо-Улугбекский район,130.0,4,3,4,0,0,0.75,32.5,panel,euro,0,0,1,265000,2038.5,olx.uz,https://www.olx.uz/d/obyavlenie/ul-s-azimova-4-3-4-spetsplan-kafe-studio-ts-1-yaponskoe-posolstvo-ID4oFWf.html
2,Яккасарайский район,101.8,3,4,14,0,0,0.2857,33.93,new,without_repair,1,0,1,189000,1856.9,olx.uz,https://www.olx.uz/d/obyavlenie/ozbegim-3h-4-14-korobka-102m2-or-r-peres-nukusskoy-i-bobura-ID4nGd0.html
2,Яккасарайский район,90.0,3,4,10,0,0,0.4,30.0,new,euro,1,0,1,155000,1722.2,olx.uz,https://www.olx.uz/d/obyavlenie/prodaetsya-3h-kvartira-v-zhk-city-mall-yakkasarayskiy-rayon-ID4nGcZ.html
1,Мирзо-Улугбекский район,68.0,3,3,4,0,0,0.75,22.67,panel,euro,0,0,1,73000,1073.5,olx.uz,https://www.olx.uz/d/obyavlenie/ipoteka-prodaetsya-3-h-kom-massiv-ttz-1-94-zhamila-ID4oFWa.html
4,Шайхантахурский район,71.0,3,7,9,0,0,0.7778,23.67,brick,euro,1,0,1,90000,1267.6,olx.uz,https://www.olx.uz/d/obyavlenie/chorsuda-3-7-9-srochniy-uy-sotiladi-ID4oFK2.html
2,Яккасарайский район,85.0,4,4,4,1,0,1.0,21.25,panel,average,0,0,1,115000,1352.9,olx.uz,https://www.olx.uz/d/obyavlenie/babura-ulitsa-4-4-4-peduniversitet-park-babura-ID4cqc1.html
0,Юнусабадский район,50.0,2,1,8,0,1,0.125,25.0,brick,euro,1,0,1,75000,1500.0,olx.uz,https://www.olx.uz/d/obyavlenie/yunusabad-13-2-1-8-ID4ns4F.html
0,Юнусабадский район,57.0,2,7,9,0,0,0.7778,28.5,brick,euro,1,0,1,74500,1307.0,olx.uz,https://www.olx.uz/d/obyavlenie/svoya-yunusabad-11-megaplanet-2-7-9-universam-ID4oBJg.html
2,Яккасарайский район,166.0,5,3,9,0,0,0.3333,33.2,brick,euro,1,0,1,380000,2289.2,olx.uz,https://www.olx.uz/d/obyavlenie/prodayu-kvartiru-v-zhk-diplomat-ID4bNa4.html
9,Яшнабадский район,156.0,5,3,9,0,0,0.3333,31.2,brick,euro,1,0,1,274999,1762.8,olx.uz,https://www.olx.uz/d/obyavlenie/uspey-srochnozhk-megadom-evro-lyuks-5-3-9-156m2-parkenskiy-makro-ID4nGcU.html
9,Яшнабадский район,30.0,1,12,16,0,0,0.75,30.0,new,euro,1,0,1,54000,1800.0,olx.uz,https://www.olx.uz/d/obyavlenie/prodam-kvartiru-zhk-assalom-sohil-novostroyka-1-kom-12-16-ID4ox75.html
3,Мирабадский район,74.0,3,3,12,0,0,0.25,24.67,new,average,1,0,1,298000,4027.0,olx.uz,https://www.olx.uz/d/obyavlenie/srochno-3-kom-kvartira-zhk-nrg-oybek-ul-nukus-or-r-shox-med-center-ID4nYvo.html
3,Мирабадский район,71.0,3,7,13,0,0,0.5385,23.67,new,average,1,0,1,105000,1478.9,olx.uz,https://www.olx.uz/d/obyavlenie/zhk-neonit-3h-komn-71-60m2-ID4ojIc.html
1,Мирзо-Улугбекский район,35.0,2,1,4,0,1,0.25,17.5,panel,average,0,0,1,67000,1914.3,olx.uz,https://www.olx.uz/d/obyavlenie/prodaetsya-1v2-1-4-na-m-ve-yalangach-orientir-institut-kultury-alisa-ID4lYZ2.html
5,Чиланзарский район,65.0,3,2,4,0,0,0.5,21.67,panel,average,0,0,1,81000,1246.2,olx.uz,https://www.olx.uz/d/obyavlenie/sport-tovar-65m-chilanzar-7-horoshiy-remont-razdelka-3-2-4-ID4nGcz.html
0,Юнусабадский район,32.0,1,7,10,0,0,0.7,32.0,new,needs_repair,1,0,1,44000,1375.0,olx.uz,https://www.olx.uz/d/obyavlenie/yunusobod-novostroyka-1-7-10-ID4lOm1.html
5,Чиланзарский район,48.0,2,1,5,0,1,0.2,24.0,panel,euro,1,0,1,67000,1395.8,olx.uz,https://www.olx.uz/d/obyavlenie/chilanzar-26-kv-2-1-5-48m2-balkon-2-6-srochno-prodam-kvartiru-ID4mv3U.html
1,Мирзо-Улугбекский район,90.0,3,5,9,0,0,0.5556,30.0,brick,average,1,0,1,120000,1333.3,olx.uz,https://www.olx.uz/d/obyavlenie/prodayu-kvartiru-na-karasu-5-ID4oehg.html
10,Сергелийский район,67.0,2,9,9,1,0,1.0,33.5,brick,euro,1,0,1,65000,970.1,olx.uz,https://www.olx.uz/d/obyavlenie/srochna-prodaetsya-2-h-komnatnaya-kvartira-na-sergeli-8a-ID3Aidf.html
6,Алмазарский район,101.0,4,2,9,0,0,0.2222,25.25,brick,euro,1,0,1,120500,1193.1,olx.uz,https://www.olx.uz/d/obyavlenie/orasaroyda-4-honali-uy-egalari-tomonidan-sotilmoda-ID4nJLi.html
1,Мирзо-Улугбекский район,48.0,2,2,4,0,0,0.5,24.0,panel,euro,0,0,1,71500,1489.6,olx.uz,https://www.olx.uz/d/obyavlenie/2-komnatnaya-kvartira-yalangach-institut-kultury-ID4h80d.html
10,Сергелийский район,51.0,2,8,9,0,0,0.8889,25.5,brick,euro,1,0,1,65000,1274.5,olx.uz,https://www.olx.uz/d/obyavlenie/sergeli-choshtepa-2-bekat-ozgarish-metroga-yaqin-ID4ounx.html
3,Мирабадский район,30.0,2,3,5,0,0,0.6,15.0,panel,average,1,0,1,47000,1566.7,olx.uz,https://www.olx.uz/d/obyavlenie/aviagorodok-1v2komnatnaya1v2-3-5-kirpichnyys-uzel-sovmeschennyy-meb-ID4ojHY.html
9,Яшнабадский район,30.0,1,3,12,0,0,0.25,30.0,new,euro,1,0,1,54999,1833.3,olx.uz,https://www.olx.uz/d/obyavlenie/1-komnatnaya-assalom-sohil-s-remontom-ot-zastroyschika-ID4nGcn.html
3,Мирабадский район,36.0,1,11,12,0,0,0.9167,36.0,new,average,1,0,1,140000,3888.9,olx.uz,https://www.olx.uz/d/obyavlenie/srochnaya-prodazha-stilnaya-studiya-v-zhk-premium-klassa-park-wood-ol-ID4oFUv.html
4,Шайхантахурский район,30.0,2,9,12,0,0,0.75,15.0,new,euro,1,0,1,60000,2000.0,olx.uz,https://www.olx.uz/d/obyavlenie/prodaetsya-1v2h-kvartira-v-zhk-charx-novza-shayhantahurskiy-rayon-ID4nGcl.html
9,Яшнабадский район,112.0,4,6,6,1,0,1.0,28.0,brick,euro,1,0,1,120000,1071.4,olx.uz,https://www.olx.uz/d/obyavlenie/ul-chigil-zhk-s-liftom-4-6-6-dupleks-mansarda-obsch-112-kv-m-ID4cjWm.html
0,Юнусабадский район,28.0,1,1,4,0,1,0.25,28.0,panel,average,0,0,1,40200,1435.7,olx.uz,https://www.olx.uz/d/obyavlenie/sroochno-prodaetsya-svoya-1-komnatnaya-kvartira-na-yunusabad-2-ID4oo7S.html
2,Яккасарайский район,56.0,3,3,7,0,0,0.4286,18.67,brick,euro,1,0,1,108000,1928.6,olx.uz,https://www.olx.uz/d/obyavlenie/novostroyka-lafayette-3komn-3-7-or-r-bratskie-mogily-ID4nGci.html
3,Мирабадский район,36.0,2,8,16,0,0,0.5,18.0,new,euro,1,0,1,91000,2527.8,olx.uz,https://www.olx.uz/d/obyavlenie/golden-house-oz-makon-2-8-16yevroremont-36mmeb-tex-ID4ojHS.html
0,Юнусабадский район,42.0,1,2,4,0,0,0.5,42.0,panel,average,0,0,1,49000,1166.7,olx.uz,https://www.olx.uz/d/obyavlenie/prodayu-1-kom-yunusabad-7kv-1-2-4-ID4oFUm.html
10,Сергелийский район,56.0,2,2,3,0,0,0.6667,28.0,panel,euro,0,0,1,56500,1008.9,olx.uz,https://www.olx.uz/d/obyavlenie/novostroyka-2-2-3-sergeli-sugdiena-evro-remont-prodaetsya-kvartira-ID4ojHK.html
1,Мирзо-Улугбекский район,44.0,1,8,12,0,0,0.6667,44.0,new,average,1,0,1,123000,2795.5,olx.uz,https://www.olx.uz/d/obyavlenie/prodayu-svoyu-kvartiru-v-nrg-mirzo-ulugbek-ID4m5HI.html
0,Юнусабадский район,39.0,1,7,9,0,0,0.7778,39.0,brick,average,1,0,1,78500,2012.8,olx.uz,https://www.olx.uz/d/obyavlenie/yunuspbpd-qazi-mahalla-1-2-7-9-ID4oG0r.html
10,Сергелийский район,83.0,3,5,9,0,0,0.5556,27.67,brick,needs_repair,1,0,1,70500,849.4,olx.uz,https://www.olx.uz/d/obyavlenie/3-5-9-sergeli-5-golden-layf-razdelka-83m-prodaetsya-kvartira-ID4nFQ4.html
3,Мирабадский район,37.0,1,12,12,1,0,1.0,37.0,new,euro,1,0,1,95000,2567.6,olx.uz,https://www.olx.uz/d/obyavlenie/mirabad-1h-kom-s-remontom-podklyuch-studiya-nrg-oybek-37m2-uspeyte-ID4nGcd.html
0,Юнусабадский район,30.0,1,4,16,0,0,0.25,30.0,new,euro,1,0,1,89999,3000.0,olx.uz,https://www.olx.uz/d/obyavlenie/imperial-city-club-ts-2-30-m-s-balkonom-ID4oFUk.html
2,Яккасарайский район,34.0,1,8,10,0,0,0.8,34.0,new,euro,1,0,1,65000,1911.8,olx.uz,https://www.olx.uz/d/obyavlenie/ul-sh-rustaveli-zhk-navruz-1-komn-8-10-34-m-evroremont-meb-teh-ID4oFUg.html
2,Яккасарайский район,85.0,3,2,5,0,0,0.4,28.33,panel,average,1,0,1,120000,1411.8,olx.uz,https://www.olx.uz/d/obyavlenie/prodayu-sh-rustaveli-3h-babura-okean-ID4nYwZ.html
1,Мирзо-Улугбекский район,42.0,2,6,9,0,0,0.6667,21.0,brick,euro,1,0,1,88000,2095.2,olx.uz,https://www.olx.uz/d/obyavlenie/zhk-nrg-qorasuv-2h-komn-42m2-korasu-ID4ojHx.html
